%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281228524117086,3406,1581281228523350000,magnetic_field,-0.1749,-0.0266,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228549034323,3407,1581281228548289537,magnetic_field,-0.1753,-0.0276,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228574978021,3408,1581281228573325157,magnetic_field,-0.1757,-0.0291,0.3462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228599216707,3409,1581281228598258972,magnetic_field,-0.175,-0.0291,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228624152988,3410,1581281228623255729,magnetic_field,-0.1753,-0.0276,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228649170587,3411,1581281228648266077,magnetic_field,-0.1746,-0.0295,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228673623649,3412,1581281228673005342,magnetic_field,-0.1757,-0.0276,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228698410385,3413,1581281228697896718,magnetic_field,-0.175,-0.0284,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228723784756,3414,1581281228723104238,magnetic_field,-0.1749,-0.0266,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228748347002,3415,1581281228747810840,magnetic_field,-0.1753,-0.0291,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228773499091,3416,1581281228772959947,magnetic_field,-0.1757,-0.028,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228798362445,3417,1581281228797790288,magnetic_field,-0.1749,-0.0269,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228823218289,3418,1581281228822777032,magnetic_field,-0.1746,-0.0273,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228849054664,3419,1581281228848145008,magnetic_field,-0.1749,-0.0269,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228874067412,3420,1581281228873198270,magnetic_field,-0.1754,-0.0291,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228898676486,3421,1581281228897998094,magnetic_field,-0.1757,-0.0284,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228923602475,3422,1581281228922947168,magnetic_field,-0.1753,-0.0288,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228948629172,3423,1581281228947952747,magnetic_field,-0.1746,-0.0281,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228974306251,3424,1581281228973658323,magnetic_field,-0.1743,-0.0277,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281228998653438,3425,1581281228997837066,magnetic_field,-0.1746,-0.0295,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229024531142,3426,1581281229023651123,magnetic_field,-0.175,-0.0291,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229048675424,3427,1581281229047841787,magnetic_field,-0.1757,-0.0291,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229074413350,3428,1581281229073624372,magnetic_field,-0.1746,-0.0288,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229099863396,3429,1581281229098511934,magnetic_field,-0.1753,-0.0284,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
