Time Stamp,String
1581012216365820884,"$VNYMR,-139.565,+001.034,-000.457,-00.2291,-00.0843,+00.4143,+00.182,+00.077,-09.700,+00.002316,+00.001591,-00.043260*6A
"
1581012216390702009,"$VNYMR,-139.598,+001.037,-000.455,-00.2280,-00.0942,+00.4192,+00.181,+00.093,-09.704,+00.001703,+00.001591,-00.042985*6A
"
1581012216415848970,"$VNYMR,-139.631,+001.038,-000.454,-00.2291,-00.0886,+00.4064,+00.195,+00.098,-09.736,+00.002097,+00.000651,-00.041918*6A
"
1581012216440606117,"$VNYMR,-139.665,+001.040,-000.454,-00.2292,-00.0885,+00.4143,+00.212,+00.081,-09.713,+00.000930,+00.000255,-00.040124*63
"
1581012216465718984,"$VNYMR,-139.698,+001.043,-000.454,-00.2294,-00.0970,+00.4144,+00.172,+00.103,-09.684,+00.000848,+00.001755,-00.041839*67
"
1581012216490789890,"$VNYMR,-139.731,+001.045,-000.453,-00.2306,-00.0899,+00.4127,+00.161,+00.105,-09.695,+00.002998,+00.001640,-00.042919*62
"
1581012216515724897,"$VNYMR,-139.764,+001.047,-000.451,-00.2321,-00.0955,+00.4126,+00.201,+00.084,-09.712,+00.000444,+00.001504,-00.042499*6C
"
1581012216540553092,"$VNYMR,-139.796,+001.049,-000.450,-00.2320,-00.0869,+00.4237,+00.187,+00.094,-09.705,+00.002169,+00.000827,-00.042206*6D
"
1581012216565836906,"$VNYMR,-139.830,+001.049,-000.448,-00.2321,-00.0969,+00.4142,+00.214,+00.079,-09.692,+00.000845,-00.000029,-00.042449*6B
"
1581012216590693950,"$VNYMR,-139.863,+001.051,-000.448,-00.2279,-00.0929,+00.4129,+00.182,+00.076,-09.705,+00.001305,-00.000066,-00.042421*66
"
1581012216615583896,"$VNYMR,-139.896,+001.051,-000.446,-00.2280,-00.0914,+00.4192,+00.180,+00.090,-09.706,+00.001411,+00.000453,-00.041993*62
"
1581012216640759944,"$VNYMR,-139.930,+001.053,-000.445,-00.2293,-00.0928,+00.4160,+00.176,+00.060,-09.737,+00.002348,+00.000945,-00.041161*6D
"
1581012216665702104,"$VNYMR,-139.961,+001.054,-000.444,-00.2292,-00.0885,+00.4143,+00.173,+00.033,-09.719,-00.000612,+00.000130,-00.042174*65
"
1581012216690522909,"$VNYMR,-139.994,+001.054,-000.444,-00.2320,-00.0940,+00.4142,+00.174,+00.060,-09.699,-00.000839,+00.000426,-00.042289*62
"
1581012216715732097,"$VNYMR,-140.026,+001.053,-000.446,-00.2307,-00.0955,+00.4127,+00.181,+00.077,-09.727,-00.000215,-00.000718,-00.042553*6F
"
1581012216740605115,"$VNYMR,-140.059,+001.052,-000.447,-00.2293,-00.0899,+00.4175,+00.179,+00.090,-09.726,+00.001249,-00.001099,-00.041572*63
"
1581012216765748977,"$VNYMR,-140.091,+001.053,-000.449,-00.2306,-00.0884,+00.4174,+00.176,+00.099,-09.706,-00.000452,-00.000498,-00.041481*6E
"
1581012216790661096,"$VNYMR,-140.125,+001.054,-000.450,-00.2292,-00.0885,+00.4159,+00.199,+00.114,-09.693,+00.001419,+00.000529,-00.042953*61
"
1581012216815541982,"$VNYMR,-140.159,+001.057,-000.451,-00.2320,-00.0912,+00.4174,+00.187,+00.064,-09.714,+00.000508,+00.000088,-00.042099*66
"
1581012216840734004,"$VNYMR,-140.191,+001.058,-000.452,-00.2266,-00.0887,+00.4209,+00.206,+00.071,-09.686,-00.000322,-00.000107,-00.044331*62
"
1581012216865520000,"$VNYMR,-140.225,+001.060,-000.453,-00.2305,-00.0871,+00.4126,+00.199,+00.079,-09.692,+00.000632,+00.000855,-00.042644*64
"
1581012216891529083,"$VNYMR,-140.257,+001.059,-000.452,-00.2320,-00.0912,+00.4205,+00.189,+00.079,-09.687,+00.001618,-00.001051,-00.042166*6B
"
1581012216916027069,"$VNYMR,-140.290,+001.060,-000.451,-00.2308,-00.0941,+00.4207,+00.192,+00.062,-09.717,+00.000604,-00.000030,-00.042241*63
"
1581012216940435886,"$VNYMR,-140.322,+001.058,-000.447,-00.2294,-00.0984,+00.4113,+00.178,+00.055,-09.721,+00.001792,-00.001774,-00.041519*69
"
1581012216965898990,"$VNYMR,-140.354,+001.058,-000.446,-00.2320,-00.0926,+00.4110,+00.184,+00.072,-09.728,-00.000277,-00.000726,-00.042121*60
"
1581012216991297960,"$VNYMR,-140.386,+001.058,-000.446,-00.2280,-00.0942,+00.4177,+00.189,+00.065,-09.723,+00.000122,+00.000681,-00.042529*64
"
1581012217015913963,"$VNYMR,-140.419,+001.058,-000.444,-00.2293,-00.0928,+00.4112,+00.181,+00.052,-09.710,+00.000350,-00.000356,-00.041969*63
"
1581012217040817022,"$VNYMR,-140.452,+001.059,-000.444,-00.2267,-00.0957,+00.4194,+00.213,+00.061,-09.744,+00.001208,+00.000165,-00.041959*63
"
1581012217065993070,"$VNYMR,-140.484,+001.062,-000.443,-00.2293,-00.0928,+00.4096,+00.193,+00.078,-09.709,+00.003398,+00.000314,-00.040411*63
"
1581012217090790033,"$VNYMR,-140.517,+001.061,-000.443,-00.2292,-00.0871,+00.4223,+00.191,+00.065,-09.712,+00.000135,-00.000617,-00.042235*6B
"
1581012217115852117,"$VNYMR,-140.549,+001.061,-000.443,-00.2279,-00.0886,+00.4160,+00.203,+00.075,-09.705,-00.000766,-00.001060,-00.041878*67
"
1581012217140834093,"$VNYMR,-140.582,+001.061,-000.443,-00.2305,-00.0885,+00.4142,+00.196,+00.098,-09.702,+00.000676,+00.000548,-00.041979*6C
"
1581012217165915966,"$VNYMR,-140.615,+001.060,-000.447,-00.2304,-00.0842,+00.4142,+00.199,+00.056,-09.753,+00.000280,-00.000394,-00.041232*6F
"
1581012217190924882,"$VNYMR,-140.648,+001.060,-000.447,-00.2279,-00.0872,+00.4208,+00.180,+00.116,-09.703,+00.000327,-00.000900,-00.040957*68
"
1581012217215843915,"$VNYMR,-140.681,+001.059,-000.450,-00.2280,-00.0928,+00.4161,+00.180,+00.084,-09.754,+00.000381,-00.001669,-00.040696*62
"
1581012217240770101,"$VNYMR,-140.713,+001.060,-000.449,-00.2280,-00.0942,+00.4192,+00.203,+00.072,-09.704,+00.002094,+00.000485,-00.042100*66
"
1581012217265799045,"$VNYMR,-140.746,+001.061,-000.448,-00.2279,-00.0872,+00.4223,+00.211,+00.052,-09.688,+00.001035,+00.000412,-00.042747*6C
"
1581012217290810108,"$VNYMR,-140.779,+001.061,-000.448,-00.2320,-00.0912,+00.4158,+00.190,+00.066,-09.698,-00.000443,-00.001220,-00.041028*66
"
1581012217315957069,"$VNYMR,-140.811,+001.063,-000.448,-00.2279,-00.0914,+00.4160,+00.181,+00.063,-09.721,+00.000055,+00.001722,-00.041187*63
"
1581012217340709924,"$VNYMR,-140.843,+001.063,-000.447,-00.2294,-00.0956,+00.4192,+00.178,+00.072,-09.719,+00.001517,+00.001433,-00.041969*67
"
1581012217365797042,"$VNYMR,-140.875,+001.064,-000.445,-00.2306,-00.0885,+00.4158,+00.185,+00.051,-09.726,+00.000982,-00.000727,-00.041066*6D
"
1581012217390810966,"$VNYMR,-140.907,+001.064,-000.444,-00.2292,-00.0871,+00.4207,+00.181,+00.095,-09.727,+00.000218,-00.000358,-00.041361*6B
"
1581012217415888071,"$VNYMR,-140.939,+001.065,-000.444,-00.2295,-00.0984,+00.4208,+00.196,+00.060,-09.694,+00.000736,+00.000394,-00.041221*6B
"
1581012217440648078,"$VNYMR,-140.972,+001.064,-000.445,-00.2265,-00.0901,+00.4161,+00.186,+00.087,-09.692,+00.000428,-00.000663,-00.042327*67
"
1581012217465706110,"$VNYMR,-141.005,+001.064,-000.446,-00.2307,-00.0941,+00.4143,+00.164,+00.071,-09.713,+00.000132,+00.000681,-00.042873*6E
"
1581012217490638971,"$VNYMR,-141.038,+001.065,-000.445,-00.2307,-00.0941,+00.4175,+00.188,+00.074,-09.697,+00.001785,-00.000345,-00.041010*63
"
1581012217515875101,"$VNYMR,-141.070,+001.064,-000.446,-00.2279,-00.0900,+00.4208,+00.180,+00.087,-09.659,-00.000110,+00.000082,-00.041601*6A
"
1581012217540680885,"$VNYMR,-141.103,+001.064,-000.447,-00.2279,-00.0914,+00.4129,+00.180,+00.077,-09.674,+00.000598,+00.000809,-00.040975*6F
"
1581012217565948963,"$VNYMR,-141.135,+001.064,-000.447,-00.2307,-00.0955,+00.4159,+00.197,+00.060,-09.697,+00.000357,-00.000384,-00.042367*6B
"
1581012217590534925,"$VNYMR,-141.167,+001.063,-000.448,-00.2281,-00.0971,+00.4145,+00.185,+00.069,-09.712,+00.000479,-00.000160,-00.042292*6E
"
1581012217615881919,"$VNYMR,-141.200,+001.063,-000.449,-00.2320,-00.0898,+00.4173,+00.217,+00.062,-09.698,-00.000929,+00.000088,-00.042888*6A
"
1581012217641066074,"$VNYMR,-141.233,+001.063,-000.450,-00.2294,-00.0956,+00.4160,+00.194,+00.082,-09.712,+00.000209,-00.001545,-00.042494*65
"
1581012217665540933,"$VNYMR,-141.266,+001.064,-000.451,-00.2307,-00.0913,+00.4190,+00.197,+00.071,-09.725,+00.000747,+00.000184,-00.041352*62
"
1581012217690547943,"$VNYMR,-141.299,+001.065,-000.451,-00.2267,-00.0958,+00.4130,+00.208,+00.096,-09.719,+00.001035,-00.000755,-00.042841*67
"
1581012217715629100,"$VNYMR,-141.332,+001.065,-000.452,-00.2291,-00.0857,+00.4159,+00.184,+00.096,-09.704,-00.000067,-00.000990,-00.040686*67
"
1581012217740694999,"$VNYMR,-141.365,+001.065,-000.451,-00.2280,-00.0928,+00.4176,+00.199,+00.089,-09.683,+00.001714,-00.000255,-00.042795*69
"
1581012217765826940,"$VNYMR,-141.398,+001.065,-000.452,-00.2293,-00.0913,+00.4175,+00.211,+00.057,-09.739,+00.001581,-00.000770,-00.042063*63
"
1581012217790445089,"$VNYMR,-141.431,+001.067,-000.453,-00.2280,-00.0942,+00.4177,+00.177,+00.101,-09.689,+00.000274,+00.001242,-00.041053*64
"
1581012217815783977,"$VNYMR,-141.464,+001.067,-000.452,-00.2292,-00.0914,+00.4128,+00.200,+00.083,-09.686,+00.000920,+00.000125,-00.041061*60
"
1581012217840557098,"$VNYMR,-141.497,+001.067,-000.451,-00.2281,-00.0971,+00.4193,+00.175,+00.083,-09.719,+00.001342,-00.000585,-00.042142*6C
"
1581012217866430044,"$VNYMR,-141.530,+001.067,-000.449,-00.2291,-00.0843,+00.4174,+00.202,+00.081,-09.725,+00.000913,+00.001076,-00.042063*6C
"
1581012217891741037,"$VNYMR,-141.563,+001.068,-000.449,-00.2308,-00.0955,+00.4175,+00.178,+00.057,-09.676,+00.000225,-00.001034,-00.041135*6E
"
1581012217915987968,"$VNYMR,-141.597,+001.070,-000.449,-00.2321,-00.0969,+00.4174,+00.187,+00.097,-09.704,-00.000530,+00.000464,-00.042021*65
"
1581012217940516948,"$VNYMR,-141.629,+001.070,-000.449,-00.2319,-00.0870,+00.4157,+00.178,+00.089,-09.730,-00.000927,-00.000439,-00.039929*61
"
1581012217965964078,"$VNYMR,-141.662,+001.071,-000.448,-00.2281,-00.0957,+00.4193,+00.203,+00.071,-09.704,+00.001883,-00.000142,-00.041548*68
"
1581012217990935087,"$VNYMR,-141.695,+001.072,-000.449,-00.2267,-00.0957,+00.4209,+00.188,+00.086,-09.675,+00.001692,-00.000411,-00.041302*60
"
1581012218016032934,"$VNYMR,-141.728,+001.073,-000.449,-00.2307,-00.0941,+00.4159,+00.176,+00.071,-09.712,+00.000175,+00.001238,-00.041233*6F
"
1581012218040440082,"$VNYMR,-141.761,+001.074,-000.449,-00.2294,-00.0927,+00.4223,+00.193,+00.096,-09.695,-00.000052,+00.000904,-00.041627*6A
"
1581012218065938949,"$VNYMR,-141.793,+001.073,-000.447,-00.2266,-00.0901,+00.4193,+00.161,+00.065,-09.720,+00.001583,-00.000314,-00.041735*60
"
1581012218090835094,"$VNYMR,-141.826,+001.072,-000.447,-00.2292,-00.0857,+00.4175,+00.180,+00.101,-09.717,+00.000993,-00.001602,-00.041593*68
"
1581012218115989923,"$VNYMR,-141.859,+001.071,-000.446,-00.2307,-00.0927,+00.4159,+00.180,+00.073,-09.714,+00.000285,-00.000778,-00.041647*6B
"
